report_id,date,district,state,fraud_type,severity,latitude,longitude,description
I4C-00033,2023-01-04,Bengaluru Urban,Karnataka,Job Fraud / Work-From-Home Scam,critical,12.96861,77.57837,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00034,2025-03-06,New Delhi,Delhi,Digital Arrest / Impersonation of Law Enforcement,medium,28.6292,77.23896,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00035,2024-11-11,Ahmedabad,Gujarat,Online Financial Fraud (UPI/Card/Net-banking),high,23.04751,72.5692,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00036,2023-06-23,Bengaluru Urban,Karnataka,Job Fraud / Work-From-Home Scam,high,13.01622,77.61678,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00037,2023-10-27,Kolkata,West Bengal,Online Financial Fraud (UPI/Card/Net-banking),high,22.5396,88.3266,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00038,2023-09-26,Kanpur Nagar,Uttar Pradesh,Counterfeit Currency Passing,low,26.45949,80.32934,Counterfeit currency notes were identified during a retail or informal transaction.
I4C-00039,2023-10-13,Bengaluru Urban,Karnataka,Digital Arrest / Impersonation of Law Enforcement,high,13.00154,77.61724,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00040,2024-08-22,Thane,Maharashtra,Online Financial Fraud (UPI/Card/Net-banking),low,19.25547,73.01072,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00041,2023-05-05,New Delhi,Delhi,Loan App Harassment,high,28.64027,77.1916,Victim took a small loan via an unregistered instant-loan app and was later harassed with morphed images sent to their contacts.
I4C-00042,2025-05-11,Thiruvananthapuram,Kerala,KYC Update Fraud,high,8.50948,76.93242,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00043,2025-06-20,Patna,Bihar,Online Financial Fraud (UPI/Card/Net-banking),medium,25.63192,85.10068,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00044,2023-09-04,Ahmedabad,Gujarat,Online Financial Fraud (UPI/Card/Net-banking),low,23.03336,72.599,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00045,2023-08-06,Noida (Gautam Buddh Nagar),Uttar Pradesh,Loan App Harassment,high,28.5181,77.39283,Victim took a small loan via an unregistered instant-loan app and was later harassed with morphed images sent to their contacts.
I4C-00046,2023-02-27,Gurugram,Haryana,Digital Arrest / Impersonation of Law Enforcement,high,28.41518,76.99573,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00047,2025-11-14,Jodhpur,Rajasthan,KYC Update Fraud,medium,26.28015,73.01862,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00048,2024-05-22,Hyderabad,Telangana,Sextortion,medium,17.36272,78.48752,Victim was coerced into payment after fraudster obtained or fabricated compromising content and threatened to circulate it.
I4C-00049,2024-02-19,Madurai,Tamil Nadu,Online Financial Fraud (UPI/Card/Net-banking),medium,9.96285,78.16402,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00050,2025-05-27,Bhopal,Madhya Pradesh,Investment / Trading Scam,medium,23.22361,77.37476,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00051,2025-01-19,Bengaluru Urban,Karnataka,Phishing (Email/SMS/Voice),low,12.98855,77.62299,Victim received a deceptive email/SMS impersonating a bank or government body and submitted credentials on a fake site.
I4C-00052,2025-03-26,Mysuru,Karnataka,Online Financial Fraud (UPI/Card/Net-banking),critical,12.33408,76.68615,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00053,2025-11-21,Gurugram,Haryana,Online Financial Fraud (UPI/Card/Net-banking),high,28.42578,77.04338,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00054,2024-11-23,Pune,Maharashtra,Digital Arrest / Impersonation of Law Enforcement,medium,18.51253,73.84236,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00055,2025-11-15,Noida (Gautam Buddh Nagar),Uttar Pradesh,Investment / Trading Scam,medium,28.52955,77.34281,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00056,2023-06-22,Bhubaneswar,Odisha,Online Financial Fraud (UPI/Card/Net-banking),high,20.25738,85.86635,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00057,2025-05-14,Hyderabad,Telangana,Online Financial Fraud (UPI/Card/Net-banking),low,17.33896,78.5146,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00058,2025-11-20,Indore,Madhya Pradesh,Investment / Trading Scam,medium,22.7372,75.9023,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00059,2025-05-21,Noida (Gautam Buddh Nagar),Uttar Pradesh,Digital Arrest / Impersonation of Law Enforcement,medium,28.55554,77.34995,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00060,2023-05-17,Gurugram,Haryana,Digital Arrest / Impersonation of Law Enforcement,medium,28.43639,76.97828,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00061,2024-07-02,Hyderabad,Telangana,Cryptocurrency Fraud,medium,17.34717,78.43785,Victim invested through a fraudulent cryptocurrency platform or wallet and was unable to withdraw funds.
I4C-00062,2024-06-20,Varanasi,Uttar Pradesh,Counterfeit Currency Passing,critical,25.27192,82.99485,Counterfeit currency notes were identified during a retail or informal transaction.
I4C-00063,2024-08-16,Bengaluru Urban,Karnataka,Online Financial Fraud (UPI/Card/Net-banking),high,12.94178,77.5758,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00064,2023-03-17,Thane,Maharashtra,Sextortion,critical,19.23552,72.95515,Victim was coerced into payment after fraudster obtained or fabricated compromising content and threatened to circulate it.
I4C-00065,2025-07-04,Bengaluru Urban,Karnataka,Online Financial Fraud (UPI/Card/Net-banking),medium,12.99491,77.5997,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00066,2025-03-16,Bengaluru Urban,Karnataka,Job Fraud / Work-From-Home Scam,high,13.00349,77.58782,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00067,2023-10-14,Guwahati,Assam,Online Financial Fraud (UPI/Card/Net-banking),low,26.12528,91.70772,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00068,2025-06-01,Pune,Maharashtra,Digital Arrest / Impersonation of Law Enforcement,high,18.50516,73.81214,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00069,2024-07-31,Dakshina Kannada (Mangaluru),Karnataka,Phishing (Email/SMS/Voice),medium,12.87255,74.89013,Victim received a deceptive email/SMS impersonating a bank or government body and submitted credentials on a fake site.
I4C-00070,2023-01-08,Ghaziabad,Uttar Pradesh,Online Financial Fraud (UPI/Card/Net-banking),low,28.68847,77.40832,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00071,2024-09-25,Hyderabad,Telangana,Loan App Harassment,low,17.43118,78.53396,Victim took a small loan via an unregistered instant-loan app and was later harassed with morphed images sent to their contacts.
I4C-00072,2024-05-23,Hyderabad,Telangana,Digital Arrest / Impersonation of Law Enforcement,medium,17.3533,78.47023,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00073,2023-03-27,New Delhi,Delhi,Digital Arrest / Impersonation of Law Enforcement,medium,28.5644,77.18542,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00074,2023-11-14,Pune,Maharashtra,Digital Arrest / Impersonation of Law Enforcement,critical,18.50036,73.86967,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00075,2025-10-09,Chennai,Tamil Nadu,Investment / Trading Scam,medium,13.1043,80.30861,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00076,2025-11-16,Belagavi,Karnataka,Digital Arrest / Impersonation of Law Enforcement,high,15.87212,74.51202,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00077,2025-10-29,Varanasi,Uttar Pradesh,Online Financial Fraud (UPI/Card/Net-banking),medium,25.34099,83.00512,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00078,2024-04-15,Noida (Gautam Buddh Nagar),Uttar Pradesh,Courier / Parcel Scam,high,28.56679,77.34261,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00079,2025-07-13,Bengaluru Urban,Karnataka,Online Shopping / E-commerce Fraud,medium,12.92579,77.60831,"Victim did not receive goods ordered from a fraudulent e-commerce listing, or a fake refund process was used to extract further payment."
I4C-00080,2023-01-07,Noida (Gautam Buddh Nagar),Uttar Pradesh,Courier / Parcel Scam,medium,28.54828,77.40362,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00081,2025-12-13,New Delhi,Delhi,Phishing (Email/SMS/Voice),low,28.57091,77.25225,Victim received a deceptive email/SMS impersonating a bank or government body and submitted credentials on a fake site.
I4C-00082,2024-04-17,Bengaluru Urban,Karnataka,Digital Arrest / Impersonation of Law Enforcement,medium,12.99528,77.56982,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00083,2024-08-11,Jaipur,Rajasthan,Investment / Trading Scam,medium,26.95997,75.78669,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00084,2024-09-15,Ahmedabad,Gujarat,Digital Arrest / Impersonation of Law Enforcement,high,23.0342,72.58568,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00085,2023-07-23,Kanpur Nagar,Uttar Pradesh,Job Fraud / Work-From-Home Scam,critical,26.41324,80.33014,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00086,2025-08-13,Coimbatore,Tamil Nadu,Loan App Harassment,medium,11.03437,76.93489,Victim took a small loan via an unregistered instant-loan app and was later harassed with morphed images sent to their contacts.
I4C-00087,2025-08-26,Ahmedabad,Gujarat,Online Financial Fraud (UPI/Card/Net-banking),low,23.07183,72.57631,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00088,2024-07-04,Bengaluru Urban,Karnataka,Online Shopping / E-commerce Fraud,medium,12.9675,77.62659,"Victim did not receive goods ordered from a fraudulent e-commerce listing, or a fake refund process was used to extract further payment."
I4C-00089,2025-01-06,Pune,Maharashtra,Digital Arrest / Impersonation of Law Enforcement,high,18.56206,73.89975,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00090,2024-04-18,Mysuru,Karnataka,Phishing (Email/SMS/Voice),high,12.32782,76.64027,Victim received a deceptive email/SMS impersonating a bank or government body and submitted credentials on a fake site.
I4C-00091,2025-07-12,New Delhi,Delhi,Online Financial Fraud (UPI/Card/Net-banking),critical,28.65151,77.19841,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00092,2023-01-04,Pune,Maharashtra,Investment / Trading Scam,high,18.54312,73.84832,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00093,2023-01-25,Mumbai,Maharashtra,Counterfeit Currency Passing,low,19.05983,72.86753,Counterfeit currency notes were identified during a retail or informal transaction.
I4C-00094,2023-06-06,Faridabad,Haryana,Investment / Trading Scam,critical,28.38788,77.30502,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00095,2023-11-01,Mumbai,Maharashtra,Digital Arrest / Impersonation of Law Enforcement,high,19.06881,72.85522,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00096,2025-05-26,Hyderabad,Telangana,Online Financial Fraud (UPI/Card/Net-banking),medium,17.36157,78.4878,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00097,2024-02-21,Gurugram,Haryana,Social Media Account Takeover,critical,28.4907,77.03969,Victim's social media account was compromised and used to solicit money from their contacts.
I4C-00098,2024-08-09,Kolkata,West Bengal,Job Fraud / Work-From-Home Scam,high,22.52755,88.38714,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00099,2024-07-31,New Delhi,Delhi,Online Financial Fraud (UPI/Card/Net-banking),medium,28.65509,77.21401,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00100,2024-09-08,Rangareddy,Telangana,Online Financial Fraud (UPI/Card/Net-banking),medium,17.3443,78.46763,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00101,2025-10-22,New Delhi,Delhi,SIM Swap Fraud,low,28.63079,77.17097,"Victim's SIM was fraudulently ported/duplicated, resulting in loss of mobile network access and unauthorized OTP-based transactions."
I4C-00102,2025-07-10,Faridabad,Haryana,Social Media Account Takeover,critical,28.40861,77.2898,Victim's social media account was compromised and used to solicit money from their contacts.
I4C-00103,2024-10-15,Nagpur,Maharashtra,Online Financial Fraud (UPI/Card/Net-banking),medium,21.15058,79.06261,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00104,2025-04-25,Hyderabad,Telangana,Phishing (Email/SMS/Voice),high,17.36084,78.49366,Victim received a deceptive email/SMS impersonating a bank or government body and submitted credentials on a fake site.
I4C-00105,2025-10-17,Pune,Maharashtra,Online Financial Fraud (UPI/Card/Net-banking),high,18.54498,73.8277,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00106,2024-03-18,Warangal,Telangana,Job Fraud / Work-From-Home Scam,medium,18.02517,79.56289,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00107,2024-10-01,Bengaluru Urban,Karnataka,SIM Swap Fraud,medium,13.01128,77.58306,"Victim's SIM was fraudulently ported/duplicated, resulting in loss of mobile network access and unauthorized OTP-based transactions."
I4C-00108,2025-08-27,Indore,Madhya Pradesh,Digital Arrest / Impersonation of Law Enforcement,high,22.75689,75.80988,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00109,2025-12-17,Guwahati,Assam,Cyberbullying / Online Harassment,critical,26.14348,91.69351,Victim reported sustained online harassment or defamatory content posted about them.
I4C-00110,2025-07-25,Indore,Madhya Pradesh,Digital Arrest / Impersonation of Law Enforcement,medium,22.76682,75.83255,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00111,2023-03-18,Bengaluru Urban,Karnataka,Digital Arrest / Impersonation of Law Enforcement,medium,12.99929,77.54474,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00112,2023-08-18,Agra,Uttar Pradesh,Online Financial Fraud (UPI/Card/Net-banking),medium,27.15708,77.9709,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00113,2023-01-03,Bengaluru Urban,Karnataka,Online Financial Fraud (UPI/Card/Net-banking),low,12.95163,77.63895,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00114,2024-05-11,Bengaluru Urban,Karnataka,Online Shopping / E-commerce Fraud,medium,12.95175,77.59067,"Victim did not receive goods ordered from a fraudulent e-commerce listing, or a fake refund process was used to extract further payment."
I4C-00115,2024-09-21,New Delhi,Delhi,Online Shopping / E-commerce Fraud,high,28.58738,77.18371,"Victim did not receive goods ordered from a fraudulent e-commerce listing, or a fake refund process was used to extract further payment."
I4C-00116,2024-04-11,Bengaluru Urban,Karnataka,SIM Swap Fraud,low,12.94101,77.63308,"Victim's SIM was fraudulently ported/duplicated, resulting in loss of mobile network access and unauthorized OTP-based transactions."
I4C-00117,2025-05-11,Chennai,Tamil Nadu,Digital Arrest / Impersonation of Law Enforcement,medium,13.12522,80.24338,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00118,2023-05-19,Mumbai,Maharashtra,Online Financial Fraud (UPI/Card/Net-banking),high,19.06564,72.82838,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00119,2024-03-29,Hyderabad,Telangana,Sextortion,low,17.43199,78.46787,Victim was coerced into payment after fraudster obtained or fabricated compromising content and threatened to circulate it.
I4C-00120,2024-04-02,Hyderabad,Telangana,KYC Update Fraud,medium,17.42393,78.4476,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00121,2023-04-22,New Delhi,Delhi,KYC Update Fraud,critical,28.65494,77.16464,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00122,2025-07-09,Hyderabad,Telangana,Digital Arrest / Impersonation of Law Enforcement,high,17.43241,78.45089,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00123,2024-11-05,Gurugram,Haryana,Cryptocurrency Fraud,critical,28.49786,77.04987,Victim invested through a fraudulent cryptocurrency platform or wallet and was unable to withdraw funds.
I4C-00124,2025-02-14,Hyderabad,Telangana,Job Fraud / Work-From-Home Scam,medium,17.40025,78.48918,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00125,2024-12-20,Bhopal,Madhya Pradesh,Digital Arrest / Impersonation of Law Enforcement,medium,23.3084,77.40684,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00126,2024-09-24,Nagpur,Maharashtra,Romance / Matrimonial Scam,medium,21.18432,79.09431,"Victim developed an online relationship with a profile that later requested money for a claimed emergency, travel, or customs issue."
I4C-00127,2025-07-03,Patna,Bihar,Job Fraud / Work-From-Home Scam,medium,25.58734,85.09253,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00128,2025-04-08,Hyderabad,Telangana,Digital Arrest / Impersonation of Law Enforcement,medium,17.37142,78.5264,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00129,2023-05-09,Bengaluru Urban,Karnataka,Social Media Account Takeover,low,12.92509,77.55086,Victim's social media account was compromised and used to solicit money from their contacts.
I4C-00130,2024-06-20,Gurugram,Haryana,Online Shopping / E-commerce Fraud,medium,28.44341,77.00383,"Victim did not receive goods ordered from a fraudulent e-commerce listing, or a fake refund process was used to extract further payment."
I4C-00131,2023-05-14,Jaipur,Rajasthan,Online Financial Fraud (UPI/Card/Net-banking),high,26.93136,75.82972,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00132,2025-03-02,Bengaluru Urban,Karnataka,Online Shopping / E-commerce Fraud,critical,12.94499,77.59212,"Victim did not receive goods ordered from a fraudulent e-commerce listing, or a fake refund process was used to extract further payment."
I4C-00133,2023-01-18,Ahmedabad,Gujarat,Digital Arrest / Impersonation of Law Enforcement,medium,23.06385,72.60288,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00134,2024-11-02,Surat,Gujarat,Romance / Matrimonial Scam,medium,21.19405,72.86338,"Victim developed an online relationship with a profile that later requested money for a claimed emergency, travel, or customs issue."
